Firs Column,Second Column
4,466.38064520587307
40,966.0070739434733
15,210.18277452151236
96,452.5606118653263
58,548.6201075821496
79,457.59512148175486
9,247.146119863069
4,146.2463737595916
26,866.9693983163468
82,961.3512705425487
64,673.8649331277642
40,71.35188672336446
41,77.40699524426631
24,831.5234298608424
32,490.98042204587733
9,341.23788138342314
36,243.67790479937014
13,372.30069970602085
57,992.2367881885544
25,260.54941600802516
32,564.8279369906721
83,201.93988420155705
54,430.2672483971938
34,875.4044920898403
30,936.3193344944473
55,40.37338122849188
37,257.4633751006913
27,651.3633352997578
71,689.3233052402768
97,913.4756902172431
1,981.3848151923197
69,452.22722902882373
58,531.494705661735
1,706.6549442903029
44,399.3237298509071
33,484.031274134505
30,102.2610415289682
57,109.32937268025955
82,517.5161668224314
58,520.4539706107063
14,115.44314695988878
29,719.4173184641521
5,895.5460017385409
60,605.6512705907236
35,70.16214802218335
100,924.790139128812
89,704.7563678379281
42,757.640901994842
77,185.2423042507728
11,782.6220662302436
57,75.72543738577242
72,190.90301917732822
13,13.476342151779397
81,941.2751742753893
45,85.82580893369196
16,195.46539472946955
27,775.0613166228957
20,766.2786487119083
94,727.6278824547716
85,197.00836413933342
64,222.11645677525004
94,633.0816086129846
63,740.6966468428463
54,630.3733479862608
46,348.22570960778444
30,460.3345955241025
84,131.30350911495336
77,854.3619959252022
60,136.9474145111872
62,680.3031167674714
9,790.2915414985031
21,202.84475749007902
98,13.41914482435591
64,442.83853429501454
4,318.134376055486
5,583.4837057763448
32,808.2226501158419
16,391.5476107627095
65,902.2870349476764
47,448.0485510579173
40,783.4635075677338
63,735.1319505375174
7,148.5129441524743
46,156.7253619580542
91,485.29728311722766
52,396.6091420350762
30,218.47504870089463
57,522.2643443084119
81,532.2156827571832
84,200.26043444637753
24,607.6504260129361
12,992.8782328472474
73,352.2309279368594
57,989.9177373961405
96,154.78787891675648
63,58.21982666375858
13,486.48195597386757
13,165.65792298034043
62,482.1951402018102
31,988.2037243384589
18,865.2210204445058
32,708.0833130056336
60,31.850109384137237
11,513.4999223272208
50,815.5343759967105
56,837.1397005309849
93,206.55275644523653
60,983.4068965094244
6,793.8226974015463
39,799.3602873661156
26,177.31141797822747
30,605.7116771318317
98,660.1998223584616
71,365.01938854096517
3,915.0360571124794
28,770.0896780110553
3,556.3361485206191
61,370.807257187589
53,401.0625226953316
62,668.4476018111002
93,318.62484420311534
18,556.6620982088502
35,596.6950715269128
58,80.45678120719369
20,876.5607783125623
94,495.403972203995
46,713.9606221579658
22,24.334055985135606
62,900.232221456158
79,67.1183986405327
30,536.6841047768764
25,419.3963268941817
40,85.97356980588134
90,81.96978944618338
89,647.7188680367233
47,605.7126219450998
37,343.49539488426984
56,407.0733577284847
38,388.30906344176685
60,840.7450869623647
93,894.6458228545074
3,200.14537483483696
80,606.0186043779386
100,757.4396576443461
54,779.5306543482429
29,881.9635084328253
43,597.2505273190985
24,757.079309349369
77,72.52248342842404
13,143.5395887499784
61,246.85433657823407
34,131.6554619979623
93,493.50056823006327
38,849.2897292395213
51,484.5067916727561
55,991.60897623838
96,646.1695747405333
65,207.50153344062085
34,178.88416972347187
6,96.82588453555019
6,265.7251646811768
10,44.7927707517215
42,718.1354773881584
59,837.9235356097323
95,990.9726898406975
13,908.3399638829065
50,276.3900991171965
37,559.2452526694095
1,43.355309877606494
87,402.9822630448481
46,939.9614111791622
78,52.59232077260545
25,858.9591519185401
44,392.47682415439897
48,690.3635109653511
65,728.9648789576108
84,177.17333964801773
75,216.56200282091254
56,489.1622150863696
3,45.115976807076684
61,994.5911167453035
20,315.7072598932119
43,679.4631466908395
60,693.8784866240733
33,208.48735410644048
92,276.9866157801232
84,587.9763278666771
19,219.908802481262
90,957.4731384725056
79,819.8802125404842
69,752.7274210730908
18,614.3417712296549
43,597.8140687284382
23,770.926197654841
54,782.7742104110569
5,737.8745706264212
82,282.88727602081667
42,621.7499265968852
46,691.9972697415201
40,485.12428495371904
93,213.32832235609357
33,457.21752840802355
64,196.4999149008073
78,884.5652778007794
50,52.93317929022323
46,351.0344120884226
90,727.5912700296277
23,927.6643942945667
50,88.53697016939644
53,615.2094798912519
96,146.28665301955735
91,905.3027826852712
96,377.7002506152846
52,58.335791911028444
25,26.78747536853898
49,13.598553098609578
54,12.84360707497334
22,27.392627776713475
61,316.9658713447786
90,523.4055107895819
96,750.6292439393809
54,844.7008401919585
98,637.3080447311443
35,111.8025211411181
15,463.869172682166
28,470.0569653189607
3,197.07650753669427
58,644.4636808365492
71,666.3147290918391
30,144.43893539698516
75,271.18425872255557
78,522.2363893182129
31,845.769966626187
58,535.9215996504038
63,2.424882705919562
54,738.3046885790706
95,175.57775353859682
80,490.231956833018
36,968.4505836152568
42,933.0626200349677
16,381.86860039764446
48,831.6817456038159
16,674.8075121718717
72,897.2898694217993
58,280.0254848215112
42,263.5827864556406
83,98.34447854371619
77,933.0447195407745
64,566.262459115567
30,517.7145802893159
70,483.5854002349762
75,115.04077114542422
60,857.6319264237663
49,471.47707381007484
24,105.98496664625378
56,177.46487195239246
58,752.2129236784037
84,822.5029220352981
67,310.2644702582186
14,530.7341046097346
16,619.8880822529945
35,135.0338510414738
91,9.838681768646218
82,712.8510466582541
100,90.87241845798589
54,98.7805954827684
83,18.6372327671257
3,90.62380925875013
80,646.2913449467275
79,347.2262729658427
17,484.5890547600088
56,684.6214746602354
44,865.2623445093863
74,271.1744318492928
32,297.3703270885899
74,840.3076278817688
91,583.003893138452
81,646.6104364479351
23,278.54986372565895
22,623.8306282713959
21,584.6219713962269
11,158.45376481368066
49,129.69683136325648
57,82.68296702760259
73,71.04120605303498
41,124.39548727454108
63,962.5384550772168
34,662.4289243045909
69,687.8040124410472
66,37.65702940560234
64,343.7984554578617
46,588.4216790616875
32,811.85090896126
59,310.439795073714
11,721.2841225307825
14,514.4968618481271
43,290.7536920411028
13,741.7774889307274
25,155.89622128667347
43,169.1777546770207
91,915.0536899492452
16,429.9224585303991
65,311.7204372241522
69,441.7893691153115
23,360.97759093131276
19,202.13371297437922
50,149.06487989890894
53,421.33138396204026
30,486.9384377099151
58,446.94263775354835
70,863.083235323307
74,209.41640999352407
5,152.61642631679305
53,384.0272242047369
47,10.168009014891787
74,971.9105821949051
100,552.8436075132759
66,294.14207525301816
74,446.65437466457223
39,632.1638033393057
100,620.6411976808236
76,64.78381474795181
99,688.533994603286
11,130.28099970771535
43,741.313077289657
60,707.5907721909427
3,698.2557741494904
59,449.0667006505198
50,534.0921326523262
97,559.5234389075374
68,262.53524768766624
57,725.1208788139995
17,539.665472068178
57,735.396194224213
54,461.83177901333704
94,609.5691515104105
48,480.51254326028095
24,437.40393084934124
86,34.51635024180211
52,532.0274792873852
70,436.95183935847825
72,296.65789315541525
21,164.97712622311656
7,207.9100189629125
76,397.2423905432252
50,230.46064561258018
20,491.16159864727706
32,528.7168405587681
97,953.2519207474452
93,945.4277159755121
43,165.55423471769814
88,395.56268002901896
36,411.53989905772994
45,891.0430282816617
71,88.08489836943978
84,948.6608804620045
62,521.3939620346673
13,907.8122871563179
41,327.85359193560237
35,724.435088622192
9,324.81905891774596
26,912.329612036525
16,169.74847853415454
11,491.1483746960374
39,65.17354220691496
15,368.88849144369294
4,298.2054714900675
15,138.29569871532988
79,753.9798683307239
49,59.94787485005948
43,197.81949551972832
96,213.90579331912596
41,774.0681366254394
36,555.0532522783468
19,723.8364305688922
24,660.6132151075199
42,791.7783309980235
28,725.5751550809715
53,867.1617111380385
21,987.325257802062
1,769.358145735209
50,824.9841605689147
40,30.041232433082765
6,531.2360006291925
97,665.0557741092681
72,982.5828243816908
38,45.25546933589564
5,419.3000255910022
10,306.917193041856
10,502.05060182478167
18,642.6696771485056
18,637.2701685218743
25,316.3659551810896
81,970.469949575046
100,802.9068517722978
16,452.5295465798094
56,969.0907505433937
66,258.9135323222397
59,449.26319843444594
4,760.3766707188408
63,430.4428545940072
48,230.63332070641772
93,270.7598998416365
67,960.6983363527311
11,8.039272118760653
21,38.88655720219924
77,430.48645121500107
2,887.6492110845394
78,695.5609668925308
62,843.6966291909428
65,292.00814249546835
84,576.288499610164
11,633.8196323823582
9,413.84464747310255
98,451.15550501189625
19,252.88967655416417
93,275.291680174321
98,256.47593381251
32,910.525207712883
55,519.7253450235089
56,784.8657972587392
90,529.2026702092428
37,555.8626252156248
6,710.2080375733942
78,907.8289235376859
3,198.01685700855253
15,952.7283052787726
6,707.5038855547795
61,588.5862611915602
61,883.6150991036257
65,192.05226101579075
34,573.2351371502851
